DateTimeID,DateTime,Year,Month,Day,Hour,DayOfWeek,MonthName,DayName
239,2023-01-10 22:00:00,2023,1,10,22,3,January,Tuesday
240,2023-01-10 23:00:00,2023,1,10,23,3,January,Tuesday
241,2023-01-11 00:00:00,2023,1,11,0,4,January,Wednesday
242,2023-01-11 01:00:00,2023,1,11,1,4,January,Wednesday
243,2023-01-11 02:00:00,2023,1,11,2,4,January,Wednesday
244,2023-01-11 03:00:00,2023,1,11,3,4,January,Wednesday
245,2023-01-11 04:00:00,2023,1,11,4,4,January,Wednesday
246,2023-01-11 05:00:00,2023,1,11,5,4,January,Wednesday
247,2023-01-11 06:00:00,2023,1,11,6,4,January,Wednesday
248,2023-01-11 07:00:00,2023,1,11,7,4,January,Wednesday
249,2023-01-11 08:00:00,2023,1,11,8,4,January,Wednesday
250,2023-01-11 09:00:00,2023,1,11,9,4,January,Wednesday
251,2023-01-11 10:00:00,2023,1,11,10,4,January,Wednesday
252,2023-01-11 11:00:00,2023,1,11,11,4,January,Wednesday
253,2023-01-11 12:00:00,2023,1,11,12,4,January,Wednesday
254,2023-01-11 13:00:00,2023,1,11,13,4,January,Wednesday
255,2023-01-11 14:00:00,2023,1,11,14,4,January,Wednesday
256,2023-01-11 15:00:00,2023,1,11,15,4,January,Wednesday
257,2023-01-11 16:00:00,2023,1,11,16,4,January,Wednesday
258,2023-01-11 17:00:00,2023,1,11,17,4,January,Wednesday
259,2023-01-11 18:00:00,2023,1,11,18,4,January,Wednesday
260,2023-01-11 19:00:00,2023,1,11,19,4,January,Wednesday
261,2023-01-11 20:00:00,2023,1,11,20,4,January,Wednesday
262,2023-01-11 21:00:00,2023,1,11,21,4,January,Wednesday
263,2023-01-11 22:00:00,2023,1,11,22,4,January,Wednesday
264,2023-01-11 23:00:00,2023,1,11,23,4,January,Wednesday
265,2023-01-12 00:00:00,2023,1,12,0,5,January,Thursday
266,2023-01-12 01:00:00,2023,1,12,1,5,January,Thursday
267,2023-01-12 02:00:00,2023,1,12,2,5,January,Thursday
268,2023-01-12 03:00:00,2023,1,12,3,5,January,Thursday
269,2023-01-12 04:00:00,2023,1,12,4,5,January,Thursday
270,2023-01-12 05:00:00,2023,1,12,5,5,January,Thursday
271,2023-01-12 06:00:00,2023,1,12,6,5,January,Thursday
272,2023-01-12 07:00:00,2023,1,12,7,5,January,Thursday
273,2023-01-12 08:00:00,2023,1,12,8,5,January,Thursday
274,2023-01-12 09:00:00,2023,1,12,9,5,January,Thursday
275,2023-01-12 10:00:00,2023,1,12,10,5,January,Thursday
276,2023-01-12 11:00:00,2023,1,12,11,5,January,Thursday
277,2023-01-12 12:00:00,2023,1,12,12,5,January,Thursday
278,2023-01-12 13:00:00,2023,1,12,13,5,January,Thursday
279,2023-01-12 14:00:00,2023,1,12,14,5,January,Thursday
